"娘身長" "父身長" "母身長"
149.7 148.7 154.6
155.2 175.5 152.5
154.9 167.3 156.5
167.2 171.8 161.5
157.4 161.5 146.5
155.6 163.3 155.6
161.2 164.4 159.6
164.9 172.8 157.4
164.6 181 158.5
169.6 174.8 165.9
162 168.5 142.7
162.2 177.3 155.4
162 165.6 159.1
166.8 170.7 156.2
160.6 171.9 158.9
157.5 174.7 153.6
162.4 175 154
154.1 167.5 163.9
151.6 165.4 155
159.1 170 156.3
153.3 160 152.9
156.2 174.7 149.3
164.8 179.2 150
156.9 168.4 157.6
160.2 160.3 154.6
149.2 166 146.8
154.3 167.8 144.6
156.7 165.2 150.5
152.4 169.1 154.4
154.1 168.5 155.9
154.2 164.5 154.3
155.8 165.9 160.7
161.8 170.3 149.2
153.5 168.1 142.9
156.2 169.2 157.3
160.5 168.3 161.4
172.4 174.1 167.5
153.1 166.2 148.3
165.3 158.9 161.2
154.1 177.5 152.7
161.7 167.2 158.5
160 161.5 161.1
162.4 171.9 154.8
152.8 167.7 146
156 170.5 153.7
161.5 173.5 160.4
159.9 179.6 154.5
154.1 163.9 151.5
157.5 159 161.1
163.2 174.1 161
155.9 169.8 166.8
157.2 170.6 150.7
161.2 170.8 154.2
147.9 168.7 152.1
170.2 175.2 162.8
164 168.6 158.3
143.9 163.8 153.7
154.8 169.7 147.4
162.8 169.7 152.5
158.8 178.1 150.4
159 177.2 161
156.4 172.6 154.5
170 176.1 169.8
158.6 172.8 155.6
156.5 174.5 153.6
160.2 170.4 150.4
153.4 175.9 148.8
161.3 176.2 152.5
153.3 175.5 150.7
150.2 166.6 151.3
159.7 161.5 159.9
154.9 166.5 155.4
152.3 164.6 143.4
152.6 166.3 155.2
151.5 172.5 148.6
157.8 167.7 154.1
156 172.8 151.3
163.8 169 152.8
148.5 167.6 150.1
165.7 166.3 158.4
153.6 164.5 147.7
151.2 164.1 147.2
145.8 161.6 152.5
160.2 169.8 156.8
164.2 179.1 165.8
156.8 165.6 156.4
154.8 169.6 151.1
158.4 162.2 161.3
166.6 170.8 157.3
153.3 169.6 163.7
164.6 166.9 156
166.2 171.4 161.5
155.9 170.6 147
155.6 168 165.9
155.6 158.4 156
161.2 167.9 150
155.2 175.7 153.3
152.9 170.7 147.2
162.5 160.2 155.1
148.8 169 155.8
169.7 162 159.4
156.4 167.1 153.8
167.5 173.5 161.9
156.6 161.8 163.2
159.7 162 149
157.3 164.8 158
159.6 170.9 152
152.8 171.4 165.3
157.8 171.9 152
152.3 164.2 150
171.3 172.2 159.8
163.9 173 148.3
160.7 158.6 169
161.3 174.2 149.1
153.4 170.4 154.3
158.1 173.6 155.5
152.4 164.9 154.7
155.9 167.6 143.6
167.5 176.9 144.5
