"娘身長" "父身長" "母身長"
148.3 170.7 141.2
164.2 168.6 150.1
159.9 168.8 158.4
161.8 165.1 155.7
172 177.1 162.9
153.8 169.9 152.8
164.5 167.3 153.4
160.6 171.6 164.5
153.4 164.2 152.3
161.3 184.3 158.9
167.7 172.8 159.2
155.4 165.1 152.5
167.1 171.3 157.7
155.8 166.2 163
158.6 166.2 158.1
158.7 166.1 156
157 173.2 154.9
160.5 167.6 160.1
152.8 168.6 148.9
167.5 173.8 159
159.4 168.3 161.4
153.3 166.6 157.2
154 160.6 165.7
167.4 173.3 147
164.4 173.7 155.9
161.1 177.7 146.1
166.8 170.3 153.3
155.8 171.3 157.5
160 164.5 164.3
159.9 172.4 157.5
155.4 166.2 156.4
167.1 168.3 159.2
157.1 167.9 154.6
165.2 171.8 153.9
152.3 168 152.8
158.4 168.6 149.5
155.3 169.5 156.2
161.6 167.8 142.8
165.2 164.2 166.5
157.2 167 146.3
160.1 170.2 155.9
153.9 173.4 153.2
162.9 179 155.2
157.1 171.9 149.8
156.9 173.1 149.1
164.9 176.5 155.1
155.8 166.1 158.6
154.1 158.7 156.8
162.5 164.4 154
156.9 177.3 163.2
159.5 180.4 147.8
155.2 178.4 158.2
153.2 168 147.7
160.9 173.9 157.3
161.6 173 164.4
153.6 165.3 145.5
158.4 169.2 147.6
160.5 184.5 162.5
154.9 171.6 155.9
158.6 171.4 148.1
167.1 166.8 158.4
159.3 172.8 151.2
161.1 170.6 160.3
158.3 164.4 158.4
164.2 166.7 164.7
158 169.3 151
142.1 166.9 144.7
156.8 171.7 152
158.3 174.7 158.7
150.3 166.5 144.8
158.7 161.4 159
155.2 173.1 145
152.6 163 139
151.5 178.9 148.2
159 167.6 152.1
160.3 168.8 157.3
157.6 166.1 154.7
168.1 171 163.1
167 178.7 156.1
159.4 169.2 159.2
163.1 166.7 169.5
164.1 178 155.5
153.4 161 153.7
159 169.8 153.8
150.6 163.7 153.4
155.3 170.7 148.1
161.9 179.3 152.9
150 167.8 142.7
162.4 172.3 148.9
163.2 174.1 153.6
153.1 164.3 147
156.5 167 144.9
151.1 170.5 152.7
163.3 172.3 155
164.7 171.2 159.4
149.7 165.3 153.6
163.1 172.9 157.6
157 159.2 165.2
165.5 172.7 154.1
154.8 158.6 158.7
153 169 153.7
151.7 172.4 157.2
156.8 163.7 149.7
160.8 166.5 159.3
169.1 175.4 165.6
149.7 173 158.7
162.1 174.5 154.2
157.6 160.3 156
161.9 162.9 156.6
160.6 170.3 152.8
164.7 177.7 148.5
152 167.3 143.3
154.2 164.5 158.8
164.1 172.8 149.8
156.2 164.1 156.6
159.4 171.8 149.8
161.6 177.8 156.9
158.5 168 160.3
161.8 163.2 157.4
