"英語" "数学"
96 65
35 36
26 30
32 50
91 66
47 22
73 59
67 70
52 18
68 79
37 46
41 64
77 74
86 92
43 43
46 19
19 30
88 65
65 39
39 46
78 57
73 69
63 60
33 25
41 53
52 67
51 38
42 32
68 64
49 26
58 37
70 58
59 71
37 80
45 44
75 65
54 51
88 94
57 43
75 58
21 14
76 74
41 51
53 66
48 61
69 53
60 66
44 26
77 69
55 54
100 74
46 26
50 40
60 56
25 16
33 42
59 41
59 44
74 71
55 58
54 38
49 38
79 66
32 46
76 73
70 43
74 89
61 35
63 45
48 50
76 54
83 78
44 45
94 73
41 62
100 53
53 51
71 82
57 57
45 50
70 70
62 32
65 39
35 28
72 59
73 73
69 42
71 70
62 23
56 32
74 66
85 58
94 85
95 71
43 7
24 13
28 56
67 61
42 23
48 30
