"娘身長" "父身長" "母身長"
156.8 168.5 154.5
158.5 169.9 154.2
160.6 173.5 155.1
155.2 167.5 152.8
158.7 173.1 155.2
160.1 172.5 155.9
153.9 165.5 154.1
155.7 168.8 159.3
159.6 169.2 154.5
154.9 164.6 156.3
158 169.3 151.3
161.8 169.5 153.1
160 170.4 160.2
156.7 168.9 155.3
156.6 171.2 153.3
160.9 171.1 155.7
153.9 167.7 158.2
155.5 166.1 152.7
157.1 166.4 154.3
150.9 163.4 151.4
159.4 169.6 157
157.5 160.7 156.6
161.5 169.4 158.3
165.2 172.3 158.2
154.2 167.3 156.1
156.9 174.7 152.6
156.1 170.6 157.4
160.7 168.3 155.9
163 164.8 158.4
159.1 169.5 151.7
163.2 174 159.5
164.7 169.3 157.6
154 165.9 153.9
160.5 166.2 153.9
157.4 168.4 152.2
157.9 168.1 155.2
161.9 171.5 157.6
158 167.1 154.4
157.6 164.2 151.3
157.7 169.5 154.1
155.2 171.2 152.2
154.5 168.1 155.7
157.4 171.8 149.8
161.6 173.1 154.5
159 169.6 159.8
161.5 174.2 155.2
158.4 167.2 152.6
158.2 159.9 156.2
159.5 172.8 156.6
161.1 174.7 158.3
